id,red_social
CALEG,https://twitter.com/ArgPortoAlegre 
CANTO,https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/ 
CAREN,https://www.facebook.com/profile.php?id=100014152878593 
CASUN,@ArgentinaEnAsuncion 
CBARC,facebook.com/ArgEnBarcelona 
CBELO,https://www.facebook.com/ArgentinaEnBeloHorizonte/ 
CBONN,https://www.facebook.com/ConsuladoArgentinoenBonn 
CCADI,www.facebook.com/ArgentinaEnCadiz 
CCEST,https://www.facebook.com/ArgEnCiudaddeleste/ 
CCHIC,https://twitter.com/argenchicago 
CCOCH,wwww.facebook.com/ArgentinaEnCochabamba 
CCOLO,https://www.facebook.com/ArgentinaenColonia 
CCURI,https://www.facebook.com/ArgEnCuritiba/ 
CFDIG,https://twitter.com/argentinaenfoz 
CFLOR,@argenflorianopolis 
CGMUM,https://www.facebook.com/argenmumbai 
CGTEL,https://www.facebook.com/ArgentinaEnIsrael/ 
CHOUS,@ARGenHouston 
CLANG,https://www.facebook.com/ArgentinaEnLosAngeles/?ref=aymt_homepage_panel   
CLOND,https://www.instagram.com/consuladoargentinoenlondres/ 
CMADR,https://www.facebook.com/ArgentinaEnMadridEsp/ 
CMALD,https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal 
CMALL,https://www.facebook.com/ArgentinaEnPalmaDeMallorca 
CMDEO,https://www.facebook.com/ArgentinaEnMontevideo/ 
CMIAM,https://es-la.facebook.com/consuladoargentino.miami/ 
CMILA,https://www.facebook.com/ConsuladoArgentinoenMilan 
CNYOR,https://www.facebook.com/ARGenNewYork 
CPABL,consuladoargentinosp@gmail.com 
CPMON,https://www.facebook.com/ArgentinaEnPuertoMontt/ 
CRECI,https://www.facebook.com/ArgentinaEnBrasilRecife 
CRIOJ,https://www.facebook.com/ArgentinaEnRiodeJaneiro/ 
CROMA,@ArgEnRoma 
CSBAH,https://www.instagram.com/argentinaensalvador 
CSCRS,cscrs2018 
CSIDN,https://www.facebook.com/ArgentinaEnSidney/ 
CSLTO,@consuladoargentinoensalto 
CTENE,www.facebook.com/argentinaentenerife 
CTORO,https://www.facebook.com/ArgentinaEnToronto/ 
CURUG,https://www.facebook.com/ArgEnUruguayana/ 
CVALP,https://www.facebook.com/ArgentinaEnValparaiso 
CVIGO,facebook.com/ArgentinaenVigo 
CVILL,https://www.facebook.com/ArgEnVillazon 
EALEM,https://www.facebook.com/ArgEnAlemania/ 
EANGO,https://www.facebook.com/ArgentinaEnAngola/ 
EARAB,https://www.facebook.com/argentinaenarabiasaudita/ 
EARGE,https://twitter.com/ARGenArgelia 
EARME,https://www.instagram.com/arginarmenia/ 
EASIR,https://www.facebook.com/Embajada-Argentina-en-Siria-112176794025495 
EAUST,https://www.facebook.com/ArgentinaEnAustralia/ 
EAZER,https://www.facebook.com/EmbassyOfArgentina/ 
EBARB,https://www.facebook.com/ArgentinaEnBarbados/ 
EBELG,https://www.facebook.com/ArgentinaEnBelgica/ 
EBOLV,@EmbaArgBolivia 
EBRAS,https://www.instagram.com/embaargenbrasil 
EBULG,https://www.facebook.com/ArgentinaEnBulgaria/ 
ECANA,https://www.facebook.com/ArgentinaInCanada 
ECEUR,https://www.facebook.com/ARGanteUE 
ECHES,https://www.facebook.com/ArgentinaEnRepCheca/ 
ECHIN,@ArgentinaEnChina 
ECOLO,@ArgColombia 
ECORE,https://www.facebook.com/ArgentinaEnCorea/ 
ECUBA,https://www.facebook.com/ArgentinaEnCubaLaHabana/ 
EDINA,https://www.facebook.com/EmbajadadeArgentinaenDinamarca/ 
EDOMI,https://es-la.facebook.com/ArgentinaEnRepublicaDominicana/ 
EEARB,https://www.facebook.com/ArgentinaEnEmiratosArabesUnidos 
EECUA,https://www.facebook.com/Argentina-en-Ecuador-772092829594964/?ref=bookmarks 
EEEUU,https://twitter.com/ARGinUSA 
EEGIP,instagram.com/argenegipto/ 
EEOEA,www.facebook.com/ARGenOEA/ 
EESPA,https://twitter.com/ARGenesp 
EETIO,https://www.facebook.com/ArgEnEtiopia/ 
EFILI,https://www.facebook.com/ArgentinaEnFilipinas 
EFINL,www.facebook.com/ArgentinaEnFinlandia/ 
EFRAN,https://www.facebook.com/ArgentinaEnFrancia/ 
EFRUS,https://www.facebook.com/EMBAJADAARGENTINAENMOSCU 
EGREC,https://www.facebook.com/ArgentinaEnGrecia 
EHILE,https://twitter.com/EmbArgEnChile 
EHOND,@ArgHonduras 
EINDI,https://twitter.com/ArgentinaEnInd 
EIRLA,https://www.facebook.com/ArgentinaEnIrlanda/ 
EISIA,@argentinaindonesia 
EISRA,https://www.facebook.com/ArgEnIsrael 
EITAL,https://es-la.facebook.com/emb.roma/ 
EJAMA,https://www.facebook.com/ArgentinaEnJamaica/ 
EJAPO,embajadaargentinaenjapon 
EKENY,www.facebook.com/ArgentinaEnKenia 
EKUWA,www.facebook.com/ArgentinaenKuwait 
ELBNO,https://www.facebook.com/ArgentinaEnLibano 
EMARR,https://www.instagram.com/marruecos.embajada/ 
EMEXI,https://twitter.com/@ARGenMexico 
EMFAO,@ArgenFao 
EMOZA,https://www.facebook.com/ArgentinaEnMozambique/ 
EMSIA,https://www.facebook.com/ArgentinaEnMalasia 
ENICA,@ArgentinaEnNicaragua 
ENIGE,https://www.facebook.com/ArgentinaEnNigeria/ 
ENORU,https://www.facebook.com/ArgentinaEnNoruega/ 
EOIRS,https://www.facebook.com/ArgentinaEnGinebra 
EPAKI,https://twitter.com/EmbajadadeArge1 
EPARA,https://twitter.com/argenparaguay_ 
EPBAJ,https://www.facebook.com/ArgEnPaisesBajos/ 
EPERU,https://twitter.com/Emb_Arg_Peru 
EPNMA,@ArgentinaEnPanama 
EPOLO,https://www.facebook.com/Embajada-de-la-Rep%C3%BAblica-Argentina-en-Polonia-1726942037398853/ 
EQATR,@embargenqatar 
ERICA,https://www.facebook.com/argentinaencostarica/ 
ERUMA,https://www.facebook.com/ArgentinaEnRumania 
ERUNI,https://twitter.com/ARGinUK 
ESAFR,facebook.com/ArgenSudafrica 
ESALV,https://twitter.com/ARGenElSalvador 
ESENE,@ARGenSenegal 
ESERB,Facebook.com/ArgentinaEnSerbia 
ESING,https://twitter.com/ARGinSingapore 
ESSED,https://twitter.com/ArgSantaSede 
ESUEC,https://se.linkedin.com/showcase/arginsweden 
ETAIL,https://www.facebook.com/ArgEnTailandiaBangkok/?tn-str=k*F 
ETRIA,https://www.facebook.com/ArgentinaEnAustria/ 
ETRIN,www.facebook.com/ArgentinaEnTrinidadYTobago 
ETUNE,https://www.facebook.com/ArgEnTunez/ 
ETURQ,@Argentinaenturquia/ 
EUCRA,https://www.facebook.com/ArgentinaEnUcrania 
EUNES,https://twitter.com/ArgentinaUNESCO 
EUNGR,https://www.facebook.com/ArgentinaEnHungria 
EURUG,https://twitter.com/ArgentinaEnUru 
EVENE,https://twitter.com/argenvenezuela?lang=es 
EVIET,https://www.facebook.com/ArgentinaEnVietnam/ 
REPAL,https://www.facebook.com/ArgEnPalestina 
CALEG, https://www.facebook.com/ArgentinaEnPortoAlegre/ 
CBARC, twitter.com/ARGenBarcelona 
CBELO, https://twitter.com/consgralbelo 
CBONN, http://www.instagram.com/consulado.argentino.bonn 
CCEST, https://www.instagram.com/argenciudaddeleste 
CCHIC, https://www.facebook.com/ArgentinaEnChicago 
CCURI, https://instagram.com/argEncuritiba 
