pais,sede_id,URL,Red_social
alemania,CBONN,https://www.facebook.com/ConsuladoArgentinoenBonn ,Facebook
alemania,CBONN, http://www.instagram.com/consulado.argentino.bonn ,Instagram
alemania,EALEM,https://www.facebook.com/ArgEnAlemania/ ,Facebook
angola,EANGO,https://www.facebook.com/ArgentinaEnAngola/ ,Facebook
angola,EANGO, https://www.instagram.com/embargentinaenangola/ ,Instagram
arabia saudita,EARAB,https://www.facebook.com/argentinaenarabiasaudita/ ,Facebook
arabia saudita,EARAB, https://www.instagram.com/arginsaudi/ ,Instagram
arabia saudita,EARAB, https://twitter.com/ensaudita ,Twitter
argelia,EARGE, facebook.com/ArgentinaEnArgelia ,Facebook
argelia,EARGE, https://instagram.com/argenargelia ,Instagram
argelia,EARGE,https://twitter.com/ARGenArgelia ,Twitter
armenia,EARME, https://www.facebook.com/ArgentinaEnArmenia ,Facebook
armenia,EARME,https://www.instagram.com/arginarmenia/ ,Instagram
armenia,EARME, https://twitter.com/ARGinArmenia ,Twitter
australia,CSIDN,https://www.facebook.com/ArgentinaEnSidney/ ,Facebook
australia,EAUST,https://www.facebook.com/ArgentinaEnAustralia/ ,Facebook
australia,EAUST, https://twitter.com/ARGinAustralia ,Twitter
austria,ETRIA,https://www.facebook.com/ArgentinaEnAustria/ ,Facebook
austria,ETRIA, https://www.instagram.com/argenviena/ ,Instagram
austria,ETRIA, https://twitter.com/ARGenViena ,Twitter
azerbaiyan,EAZER,https://www.facebook.com/EmbassyOfArgentina/ ,Facebook
azerbaiyan,EAZER, www.instagram.com/embargentinaaz ,Instagram
azerbaiyan,EAZER, www.twitter.com/ARGEnAzer ,Twitter
barbados,EBARB,https://www.facebook.com/ArgentinaEnBarbados/ ,Facebook
belgica,EBELG,https://www.facebook.com/ArgentinaEnBelgica/ ,Facebook
belgica,EBELG, https://www.instagram.com/argenbelgica/ ,Instagram
belgica,ECEUR, https://www.flickr.com/people/197084220@N02/ , https://www.flickr.com/people/197084220@N02/ 
belgica,ECEUR, https://www.linkedin.com/company/arganteue , https://www.linkedin.com/company/arganteue 
belgica,ECEUR,https://www.facebook.com/ARGanteUE ,Facebook
belgica,ECEUR, https://twitter.com/ARGanteUE ,Twitter
belgica,ECEUR, https://www.youtube.com/@ARGanteUE ,Youtube
bolivia,CCOCH,wwww.facebook.com/ArgentinaEnCochabamba ,Facebook
bolivia,CSCRS, www.facebook.com/ArgEnSantaCruz  de  la  Sierra ,Facebook
bolivia,CSCRS,cscrs2018 ,cscrs2018 
bolivia,CVILL,https://www.facebook.com/ArgEnVillazon ,Facebook
bolivia,EBOLV, @EmbajadaArgentinaBolivia , @EmbajadaArgentinaBolivia 
bolivia,EBOLV, @embajada_argentina_en_bolivia , @embajada_argentina_en_bolivia 
bolivia,EBOLV,@EmbaArgBolivia ,@EmbaArgBolivia 
brasil,CALEG, https://www.facebook.com/ArgentinaEnPortoAlegre/ ,Facebook
brasil,CALEG, https://www.instagram.com/argenportoalegre/ ,Instagram
brasil,CALEG,https://twitter.com/ArgPortoAlegre ,Twitter
brasil,CBELO,https://www.facebook.com/ArgentinaEnBeloHorizonte/ ,Facebook
brasil,CBELO, https://www.instagram.com/consgralbelo/ ,Instagram
brasil,CBELO, https://twitter.com/consgralbelo ,Twitter
brasil,CCURI,https://www.facebook.com/ArgEnCuritiba/ ,Facebook
brasil,CCURI, https://instagram.com/argEncuritiba ,Instagram
brasil,CCURI, https://twitter.com/ARGenCuri ,Twitter
brasil,CFDIG, https://www.facebook.com/ArgentinaEnFozDeIguazu ,Facebook
brasil,CFDIG, https://www.instagram.com/argentinaenfoz/ ,Instagram
brasil,CFDIG,https://twitter.com/argentinaenfoz ,Twitter
brasil,CFLOR,@argenflorianopolis ,@argenflorianopolis 
brasil,CFLOR, https://www.facebook.com/cflor.mrecic.gov.ar ,Facebook
brasil,CPABL,consuladoargentinosp@gmail.com ,consuladoargentinosp@gmail.com 
brasil,CRECI,https://www.facebook.com/ArgentinaEnBrasilRecife ,Facebook
brasil,CRECI, https://www.instagram.com/consuladoargentinorecife ,Instagram
brasil,CRIOJ,https://www.facebook.com/ArgentinaEnRiodeJaneiro/ ,Facebook
brasil,CSBAH, https://www.facebook.com/ArgentinaenSalvador ,Facebook
brasil,CSBAH,https://www.instagram.com/argentinaensalvador ,Instagram
brasil,CSBAH, https://twitter.com/ArgentinaEnSSA ,Twitter
brasil,CURUG,https://www.facebook.com/ArgEnUruguayana/ ,Facebook
brasil,CURUG, https://twitter.com/CURUGoK ,Twitter
brasil,EBRAS, https://www.facebook.com/embargbrasil ,Facebook
brasil,EBRAS,https://www.instagram.com/embaargenbrasil ,Instagram
brasil,EBRAS, https://twitter.com/ArgentinaEnBras ,Twitter
bulgaria,EBULG,https://www.facebook.com/ArgentinaEnBulgaria/ ,Facebook
